case_id,variant_id,turn_id,mode,task_alignment_text_only,task_alignment_with_image,visual_focus_with_image,structure_shift_with_image,image_mention_with_image,ignore_image_obedience,round_consistency,conflict_follow_score,task_alignment_drop,patch_ablation_gain,visual_persistence,image_influence_turn,avg_image_influence_case
drift_005_answer_conflict_color_and_choice,dashboard_extreme_sal3_answer_conflict,1,normal,1.0,1.0,0.687,0.0,0.0,,,0.5968,0.0,0.0,0.0,0.2061,0.2651
drift_005_answer_conflict_color_and_choice,dashboard_extreme_sal3_answer_conflict,2,followup_visual_probe,0.6052,0.6852,0.6058,0.0,0.6667,,0.5685,0.8347,0.0,0.0,0.6667,0.2817,0.2651
drift_005_answer_conflict_color_and_choice,dashboard_extreme_sal3_answer_conflict,3,ignore_image,1.0,1.0,0.85,0.0,0.0,0.15,0.5685,0.5968,0.0,0.2623,0.0,0.3075,0.2651
drift_005_answer_conflict_color_and_choice,chat_high_sal3_answer_conflict,1,normal,1.0,1.0,0.687,0.0,0.0,,,0.6038,0.0,0.0,0.0,0.2061,0.2708
drift_005_answer_conflict_color_and_choice,chat_high_sal3_answer_conflict,2,followup_visual_probe,0.6052,0.7315,0.6379,0.0,0.8333,,0.5621,0.855,0.0,0.0,0.8333,0.3164,0.2708
drift_005_answer_conflict_color_and_choice,chat_high_sal3_answer_conflict,3,ignore_image,1.0,1.0,0.85,0.0,0.0,0.15,0.5621,0.6038,0.0,0.1744,0.0,0.2899,0.2708
