case_id,variant_id,turn_id,mode,task_alignment_text_only,task_alignment_with_image,visual_focus_with_image,structure_shift_with_image,image_mention_with_image,ignore_image_obedience,round_consistency,conflict_follow_score,task_alignment_drop,patch_ablation_gain,visual_persistence,image_influence_turn,avg_image_influence_case
drift_004_ignore_image_resistance,form_extreme_sal3_ignore,1,ignore_image,0.9761,0.9814,0.5514,0.0,0.0,0.4486,,0.6245,0.0,0.0,0.0,0.1654,0.2354
drift_004_ignore_image_resistance,form_extreme_sal3_ignore,2,followup_visual_probe,0.8511,0.8576,0.7468,0.0,0.3333,,0.621,0.8032,0.0,0.0,0.3333,0.274,0.2354
drift_004_ignore_image_resistance,form_extreme_sal3_ignore,3,ignore_image,0.8785,0.8858,0.6097,0.0,0.0,0.3903,0.621,0.6245,0.0,0.0,0.0,0.1829,0.2354
drift_004_ignore_image_resistance,form_extreme_sal3_ignore,4,consistency_check,0.9171,0.9869,0.8251,0.0,0.1667,,0.7163,0.7344,0.0,0.234,0.1667,0.3193,0.2354
drift_004_ignore_image_resistance,poster_high_sal2_ignore,1,ignore_image,0.9761,0.9814,0.5514,0.0,0.0,0.4486,,0.5448,0.0,0.0,0.0,0.1654,0.2237
drift_004_ignore_image_resistance,poster_high_sal2_ignore,2,followup_visual_probe,0.8511,0.8493,0.7423,0.0,0.3333,,0.5837,0.7738,0.0018,0.0,0.3333,0.2731,0.2237
drift_004_ignore_image_resistance,poster_high_sal2_ignore,3,ignore_image,0.8785,0.8858,0.6097,0.0,0.0,0.3903,0.5837,0.5448,0.0,0.0,0.0,0.1829,0.2237
drift_004_ignore_image_resistance,poster_high_sal2_ignore,4,consistency_check,0.9171,0.9454,0.827,0.0,0.1667,,0.7423,0.585,0.0,0.0019,0.1667,0.2735,0.2237
